,City,Latitude,Longitude,Province,introduction,Area (Sq. km),Forest Area (acres),Total Housing Units,Tehsils,Union Councils,Population,Population Density per Sq. Km,Ratio Male per hundres females,Urban Population,Rural Population,Male,Female,Transgender,Number of Cattle,Multi Dimensional Poverty Index,Road Kilometrage,Motor Vehicles Registered,Health Institutions,Bed Strength,Doctors,Children fully immunized Urban,Children fully immunized Rural,Urban tap water %,Rural tap water %,Households toilet facility,Primary schools,Middle schools,High schools,Learning Score %,Availability of Electricity,Availability of Water,Public Toilet %
0,Karachi,24.86,67.01,Sindh,"The city of Karachi is well-known to the world as the commercial and financial capital of Pakistan. The Karachi generates about 25% of the national GDP. It also has its share of 65% in generating the national revenue that includes federal and provincial taxes, customs and surcharges. In 2007, Karachi was identified as the most business-friendly city in Pakistan by World Bank.

The city has a very large and diverse economy. It is home for some of the largest and most dynamic industrial complexes in the country such as Sindh Industrial & Trading Estate (SITE), Korangi Industrial & Trade Estate, FB Area, North Karachi Industrial & Trade Estate, Dhabeji and Port Qasim etc. SITE Manghopir is the largest industrial park of the country comprising about 4000 factories. The areas like I.I. Chundrigar Road, Sharah-e-Faisal, Clifton and Defense are the main business hub of Karachi.

As the city offers an ideal location for the business, the industries produce a wide variety of goods, from textiles to chemicals, steel and machinery. The versatile industries of the city also produce cement, corn mills, shipbuilding, refined oil, shoes and food. Some major automobile manufacturing companies such as Toyota, Suzuki, Millat Tractors, Adam motors, HinoPak have their manufacturing plants in the city. The city is also home for plenty of cottage industries.

Most of Pakistan's public and private banks, insurance companies have their head offices in Karachi. Many of Pakistan’s independent television and radio channels such as Geo, ARY, Hum and AAJ TV, KTN, Sindh TV are headquartered in Karachi. The city also offers the scope for expansion of tertiary sector and retail trade. The largest stock exchange of Pakistan is situated in Karachi. Jinnah International Airport situated in Karachi is the largest international airport in Pakistan.

The Karachi is a major sea transport centre and contains the country’s two major ports namely the port of Karachi and Port Mohammad Bin Qasim. The city is an important hub for fishery business in Pakistan. The major fish harbour in Karachi includes Karachi Fish Harbour and Korangi Fish Harbour. In Karachi, about 300,000 people are connected with the fishery business and some subsidiary industries provide employment to about 400,000 people.

Although IT industries, electronic media and call centers are playing a significant role in the current economy, the huge industrial base of the city provides the maximum strength to the economy of Pakistan.",3527,38919.4,2770074,31,178,16051521.0,4246.0,110.9,14910352,1141169,8439659,7610365,1497,271000,0.019,293.0,406656,4,76,2053,100.0,100.0,85.0,54.0,100.0,2017,379,521,0.0,0.0,0.0,0.0
1,Lahore,31.5497,74.3436,Punjab,"Location of Lahore City is bounded on the North and West by Sheikhupura district, on the east by India and on the south Kasur district River Ravi flows on the northern side of Lahore. Total land area of the city is 404 sq. Km. Altitude of the city lies between 31-15 and 31-45 North latitudes and 74-01 and 74-39 East longitude. Climate of Lahore city faces extremes climate, May, June, and July are hottest months. While December, January and February are the coldest months. Languages spoken in the city are Punjabi, Urdu and English. Extravagant language, maybe, but admirers have always vied with each other to immortalize this Pearl of the Punjab.

The origin of Lahore can be traced back somewhere between 1st and 7th centuries A.D. It is, however, inferred by historians that Lahore was actually founded by Loh e son of Rama, characterized as the Hindu god in Ramayana. According to Sir Robert Montgomery, Lahore rose to importance between 2nd and 4th centuries. According to the Greek geographer, Ptolemy, Lahore was founded somewhere at the end of the 1st century. According to the book ood-e-Aalamahore appeared as a town in 882 AD.

Lahore is the city of poets, artists and the center of film industry. It has the largest number of educational institutions in the country and some of the finest gardens in the continent.

Lahore is the second largest financial hub of Pakistan and has industrial areas including Kot Lakhpat and the new Sundar Industrial Estate (near Raiwand). A major industrial agglomeration with about 9,000 industrial units, Lahore has shifted in recent decades from manufacturing to service industries. The city is the country’s largest software producing center, and hosts a growing computer-assembly industry. (ADB 2010)

Lahore is the hub of handmade carpet manufacturing in Pakistan. (Al Rug 2007).",1772,2391.928,1757691,5,274,11126285.0,6279.0,110.0,11126285,0,5824131,5300931,1223,209000,0.017,1309.93,5349073,54,14880,1112,99.0,100.0,73.0,13.0,100.0,609,233,334,53.93,96.5,96.98,96.82
2,Faisalabad,31.418,73.079,Punjab,"The Faisalabad district is surrounded on the North and West by Hafizabad, Jhang and Toba Tek Singh districts respectively. In the East it touches Sheikhupura and in the South it is bounded by river Ravi, across which lies Okara.

A tiny town founded only to act as an agricultural market/mandi has now grown into a giant size metropolitan city, which enjoys third position in the country, as far as population and industrial growth is concerned. The present Faisalabad district came into existence in 1904 as Lyallpur district. Earlier, it was a Tehsil of Jhang district. During the later part of the 19th century, the Government of India initiated a great system of artificial irrigation through construction of canals.
The area of Faisalabad district was part of three districts via Gujranwala, Jhang and Sahiwal. This area was located between river Ravi and River Chenab and formed part of Rachna Doab. The name Lyallpur was given with a view to pay tribute to Sir James Lyall, Lt. Governor of Punjab, for his services rendered in colonization of the lower Chenab valley.
The design of the town was prepared by Captain Pophan Young C.I.E, a colonization officer. In 1896, Lyallpur tehsil comprised of Gujranwala, Jhang and Sahiwal and was under the administrative control of district Jhang.
The soil is fertile but salinity and water logging affect some areas. Major crops and fruits of district Faisalabad are wheat, sugarcane, rice, maize, citrus, guava and mangoes. A variety of vegetables are also grown in the district. 

Faisalabad district has made rapid strides in the field of industry after independence. It is now called the ""Manchester of Asia"" for its extensive development of textile industry. This development has been made possible by the continued efforts of pioneering entrepreneurs as well as workers over a period of four decades. Before independence, there were only five industrial units in Faisalabad City (then Lyallpur). Now, there are dozens of textile mills with other subsidiary units. Roughly, there are 512 large Industrial units, out of which 328 are Textile units, 92 engineering units and 92 of chemicals and food processing units. Other industries include hosiery, carpet and rugs, nawar and lace, printing and publishing and pharmaceutical products etc. There are also some 12,000 house-hold industries, which include some 60,000 power loom factories.

In 1947 there were 4 big Floor Mills, one Textile Mill, 12 Ginning units and 6 Engineering units. A few other industrial units also existed at that time. After independence, the large-scale migration of population, which included skilled workers and entrepreneurs, adversely affected the industrial set up. The government support also encouraged the entrepreneurs considerably, which resulted in rapid industrialization mostly in the textile sector.
An Industrial estate on Sargodha Road has been developed by Punjab Small Industrial Corporations (PSIC) over as area of 244 acres. Establishment of Industry in the estate is highly convenient because of availability of all the infra-structure through the PSIC.

Faisalabad Chamber of Commerce and Industry is a very strong and recognized chamber, which functions for the improvement and betterment of the business and industrialists community. The Chamber also gives suggestions to Federal Finance, Commerce Ministry, Provincial Finance, Excise and Taxation Ministry and Central Board of Revenue in formulating budget proposals or tax recovery proposals.
Besides Faisalabad Chamber of Commerce and Industry, there are number of other industrial associations each related to different sector of Industry or business. The role of these associations is similar to the role of Chamber but restricted to the sector concerned and relatively confined to lower tiers of the government.
The important Associations contributing to the Industrial growth are appended below:
All Pakistan Textile Mills Association (APTMA) Regional office, Lahore
All Pakistan Textile Processing Mills Association, Susan Road, Faisalabad
All Pakistan Bed Sheets and up-Hosiery Association, New Civil Lines, Faisalabad
All Pakistan clothe Exporters Association Faisalabad
All Pakistan Hosiery Mills Association Gulistan Colony, Faisalabad
All Pakistan Power Looms Association, Faisalabad
Export Processing Zone
An Export Processing Zone (EPZ) is being established near Khurrianwala as a joint venture of PSIC & EPZ.",5856,2970.142,1225266,6,346,7873910.0,1345.0,105.0,4113582,3760328,4034515,3838854,541,281000,0.086,2456.73,1283742,26,3830,787,100.0,100.0,18.0,8.0,92.0,1329,491,446,76.24,98.04,99.92,99.7
3,Rawalpindi,33.6007,73.0679,Punjab,"Rawalpindi is a city in the Potwar Plateau near Islamabad, the current capital of Pakistan. It is the military headquarters of the Pakistan Armed Forces and also served as the nation's capital while Islamabad was being constructed in the 1960s. The city is home to many industries and factories.
Islamabad International Airport is actually in Rawalpindi, and it serves the city along with the capital. Rawalpindi is located in the Punjab province, 275 km (171 miles) to the north-west of Lahore. It is the administrative seat of the Rawalpindi District. Rawalpindi, also known as Pindi, has a long history spread over several millennia. Archaeologists believe that a distinct culture flourished on this plateau as far back as 3000 years.
The material remains found at the site prove the existence of a Buddhist establishment contemporary to Taxila, but less celebrated than its neighbor. It appears that the ancient city went into oblivion as a result of the Hun devastation. The first Muslim invader, Mahmud of Ghazni (979-1030), gifted the ruined city to a Gakkhar Chief, Kai Gohar. The town, however, being on an invasion route, could not prosper and remained deserted until Jhanda Khan, another Gakkhar Chief, restored it and named it Rawalpindi after the village Rawal in 1493.
Rawalpindi remained under the rule of the Gakkhars till Muqarrab Khan, the last Gakkhar ruler, was defeated by the Sikhs in 1765. The Sikhs invited traders from other places to settle here. This brought the city into prominence. Following the British conquest of the Sikhs and their occupation of Rawalpindi in 1849, the city became a permanent garrison of the British army in 1851. In the 1880s a railway line to Rawalpindi was laid, and a train service was inaugurated on January 1, 1886. The need for having a railway link arose after Lord Dalhousie made Rawalpindi the headquarters of the Northern Command and Rawalpindi became the largest British military garrison in British India.
In 1951, Rawalpindi saw the murder of the first elected Prime Minister of Pakistan, Liaquat Ali Khan, in Liaquat Garden. Today Rawalpindi is the headquarters of the Pakistani Army and Air Force. The famous Murree Road has been a hot spot for various political and social events. Nala Lai, famous for its floods, runs in the middle of the city, dividing it into city area and Cantonment area. History describes Nala Lai water pure enough to do washing clothes but now it has become polluted with the waste water from all sources including factories and houses. It is rapidly developing into a large modern city. It has many good hotels, restaurants, clubs, museums, playgrounds. It has a number of parks, of which the largest is Ayub National Park. Rawalpindi is the nearest major city for the holiday resorts and hill stations of the Galiyat area, such as Murree, Nathia Gali, and Ayubia. It is also a common starting point for tourists visiting Abbottabad, Swat, Kaghan, Gilgit, Hunza, Skardu and Chitral.
The economy of Rawalpindi has a diverse industrial base. The main industries of the city include oil refineries, gas processing, steel manufacturing, iron mills, railroad yards, a brewery , sawmills, tent factories, textiles, hosiery, pottery, leather goods production, transport and tourism.",5285,312292.393,888765,7,174,5405633.0,1023.0,103.0,2875516,2530117,2741872,2663075,686,254000,0.032,3645.0,998897,17,3322,540,95.0,100.0,47.0,18.0,95.0,1203,314,370,67.95,92.25,99.75,99.75
4,Gujranwala,32.15,74.1833,Punjab,"The district lies in between two main cities, in North is the Gujrat and in South, there are Sheikhupura and Lahore. The Chenab river forms the Northern boundary of the district. Beyond the river, it is bounded by Gujrat and Mandi Bahauddin districts, on the East by Sialkot district, on the South by Sheikhupura district and on the West by Hafizabad district.

Rice, Wheat and Sugarcane are the main crops grown in the district. The source of irrigation is perennial and non perennial canals supplemented by tub wells. Rice and Wheat are major food crops while Rice dominates with an earning of about Rs.15 millions as foreign exchange. Besides, Jawar, Bajra, Mash, Moong, Masoor, Gram, Maize, Tobacco, Oil Seed such as Rape/Mustard and sunflower are also grown in minor quantities in the district
Guavas and Citrus are main fruits grown in the district. Besides, Peaches, Jaman and Banana are also grown in minor quantities in the district. The major vegetables grown in the district are Potatoes, Cauliflower, Turnip, Onion, Peas, Carrot, Tomato, Ladyfinger and Garlic. Besides, Bitter Gourd and Chillies are also grown in the district in minor quantities.
The human settlements in Gujranwala existed since antiquity. The first name of the settlement according to the compilers of the first edition of the district gazette was Khanpur Shansi after an individual of the Jat tribe called Khan Shansi who founded 11 villages in the nearby area. Gujjar also settled in the Gujranwala region. They reach such dominance that the town came to be known as Gujranwala. It seems likely that the district once contained the capital of the Punjab, at an epoch when Lahore had not begun to exist.
We learn from the Chinese Buddhist pilgrim, Hsuan Tsang, that about the year 630 A.D. he visited a town known as Tse-kia (or Taki), the metropolis of the whole country of the five rivers. A mound near the modern village of Asarur has been identified as the site of the ancient capital. Until the Muslim rule little is known of Gujranwala, except that Taki had fallen into oblivion and Lahore had become the chief city. ‘Under Muslim rule the district flourished for a time; but a mysterious depopulation fell upon the tract, and the whole region seems to have been almost entirely abandoned. The Compilers of the district Gazetteer Gujranwala date this name to Approximately 300 years, giving us a rough estimate of the middle of the 16th century. Other smaller town in the vicinity for example Sohdara Eminabad Wazirabad and Ghakhar have older antecedent than Gujranwala itself.
The Sikhs occupied the Punjab after the death of the Mughal Emperor Aurangzeb Alamgir in 1707. Maharaja Ranjit Singh was the most powerful of all the Sikh rulers and ruled over for 40 years. After his death in 1840 the Sikh Empire was divided and disintegrated. The area was conquered and annexed by the British in 1849. A railway line was built along Grand Trunk Road in 1881. That railway line interconnected Gujranwala with other cities of Punjab and made the commercial trade between cities more convenient. British ruled the city until Pakistan's independence in 1947.
After independence Gujranwala was developed and it is now leading city of Pakistan. It is now an agricultural marketing center (grains, melons, sugarcane); it is also a commercial and industrial center, manufacturing ceramics, iron safes, copper, brass, and aluminum utensils. The establishment of an industrial park, textile, silk, pipefitting, electric fan, and tannery production increased its importance. Cultivation in the surrounding area is dependent upon canal irrigation. Wheat, cotton, rice, barley, and millet are the chief crops. One of the best quality Rice grows in Gujranwala.
In 1951, the city was converted into the capital of the district, which gave rise to the new industries in the city. The Gujranwala hydroelectric project provides power from the Chenab River. There are also rice and sugar mills and glassworks in the locality. City has an International Level Cricket Stadium, Jinnah Stadium also or formerly known as Municipal Stadium.
Gujranwala district is one of the major industrially developed district of the country. It possesses the requisite social/physical infrastructure and industrial base for the manufacture of specialized electrical/electronic products and industrial machinery to meet the overall requirement of the country such as distribution/power transformer, electricity/gas/water meters, circuit breakers, electric appliances, wires/cables, calculators, computers, machine tools, etc.",3622,4368.728,747214,5,166,5014196.0,1384.0,102.0,2948936,2065260,2533117,2480828,251,168000,0.064,2869.59,747144,16,1689,501,100.0,98.0,9.0,0.0,97.0,1085,302,258,79.27,96.26,99.63,99.18
5,Peshawar,34.0,71.5,Khyber Pakhtunkhwa,"Peshawar is located in the broad Valley of Peshawar, which is surrounded by mountain ranges on three sides, with the fourth opening to the Punjab plains. The city is located in the generally level base of the valley, known as the Gandhara Plains.

Peshawar's economic importance has historically been linked to its privileged position at the entrance to the Khyber Pass – the ancient travel route by which most trade between Central Asia and the Indian Subcontinent passed.

Peshawar's Industrial Estate on Jamrud Road is an industrial zone established in the 1960s on 868 acres. The industrial estate hosts furniture, marble industries, and food processing industries, though many of its plots remain underutilized. The Hayatabad Industrial Estate hosts 646 industrial units in Peshawar's western suburbs, though several of the units are no longer in use. As part of the China Pakistan Economic Corridor 4 special economic zones are to be established in the province, with roads, electricity, gas, water, and security to be provided by the government. 

On the whole, the economy of Peshawar is currently based on vast variety of economic sectors, among them are Agriculture, Horticulture, Manufacturing, Services, Pharmaceutical Sector. In Particular, Peshawar already is Manufacturing, Services and Pharmaceutical Hub of the province, but there is room to grow even more. Being the provincial metropolis, Peshawar hosts an industrial base that manufactures a wide range of products like steel and other alloys, marble blocks, textiles, beverages, automobile body parts, sporting arms, ceramics, edible items (biscuits, bakery items, oil/ghee etc.), furniture and soaps/shampoo (KP Economic Zones Development and Management Company).",1257,55043.0,489843,1,92,4269079.0,3396.0,106.0,1970042,2299037,2201257,2067591,231,223150,0.148,420.5,669750,20,728,440,100.0,100.0,79.0,14.0,92.0,1041,146,149,53.35,100.0,100.0,100.0
6,Multan,30.1978,71.4711,Punjab,"Located on the banks of the Chenab River, The nearest major cities are Dera Ghazi Khan and Bahawalpur. Multan is located in a bend created by five rivers of central Pakistan. The Sutlej River separates it from Bahawalpur and the Chenab River from Muzaffar Garh. The area around the city is a flat, alluvial plain that is used for citrus and mango farms.
 
Multan district is distinguished for its status in Agricultural production especially cotton and Mango. It has renowned Agricultural research institutes like
Central Cotton Research Institute
Cotton Research Station
Mango Research Station
Agricultural College at Baha-ud-Din Zakria University
All the personnel and Infrastructure required for Agricultural development is available at Multan. It also has a rich cultural heritage.
After the devolution on 14th August 2001, Agriculture group at district level consists of five departments i.e. Agriculture (Extension), on Farm Water Management, livestock, Fisheries and Forest. This group is administered by Executive District Officer Agriculture.
Industrial Data is as follows;",3720,3110.0,760858,4,185,4745109.0,1276.0,106.0,2058290,2686819,2437412,2307504,193,342000,0.173,3024.4,1205168,16,2276,474,100.0,99.0,19.0,4.0,86.0,1002,220,164,75.77,92.25,97.19,97.77
7,Islamabad,33.6989,73.0369,Islamabad,"Islamabad Capital Territory is the only federal territory of Pakistan. Located in north-central Pakistan between the provinces of Punjab and Khyber Pakhtunkhwa, it includes the country's federal capital Islamabad.

Islamabad is the capital of Pakistan and a net contributor to the Pakistani economy. Whilst having only 0.8% of the country's population, it contributes 1% to the country's GDP. The Islamabad Stock Exchange, founded in 1989, is Pakistan's third largest stock exchange after Karachi Stock Exchange and Lahore Stock Exchange. The exchange has 118 members with 104 corporate bodies and 18 individual members. The average daily turnover of the stock exchange is over 1 million shares. As of 2012, Islamabad LTU (Large Tax Unit) was responsible for Rs 371 billion in tax revenue, which amounts to 20% of all the revenue collected by the Federal Board of Revenue (FBR) as of 2012.

Islamabad has seen an expansion in information and communications technology with the addition three Software Technology Parks which house numerous national and foreign technological and IT companies. The tech parks are located in Evacuee Trust Complex, Awami Markaz and I-9 sector. Awami Markaz houses 36 IT companies while Evacuee Trust house 29 companies. Call centers for foreign companies have been targeted as another significant area of growth, with the government making efforts to reduce taxes by as much as 10% in order to encourage foreign investments in the IT sector.

Most of Pakistan's state-owned companies like Pakistan International Airlines, PTV, PTCL, OGDCL, and Zarai Taraqiati Bank Ltd. are based in Islamabad. The city is home to many branches of Karachi-based companies, banks, and TV channels. Headquarters of all major telecommunication operators such as PTCL, Mobilink, Telenor, Ufone, China Mobile and are located in Islamabad.

According to the World Bank's Doing Business Report of 2010, Islamabad was ranked as the best place to start a business in Pakistan.",9065,3110.0,3360182,5,50,1055712.0,1165.0,111.04,1014825,991747,1055712,950727,133,44000,0.013,,1235,0,0,105,88.0,100.0,21.0,18.0,99.0,915,140,114,64.8,99.48,97.38,96.86
8,Quetta,30.192,67.007,Balochistan,"Quetta District lies between 66°41'40""-67°17'25"" East longitudes and 30°01'29""-30°28'25"" North latitudes. Location of Quetta is at 690 km (aerial distance) south-west (237 degrees bearing) of Pakistan's capital city, Islamabad.

Quetta was granted the status of district in 1975. The name originates from Pushto word Kawatta, which means a fort. Formerly, the town was situated within the walls of fort “A Miri”, which is now used as an arsenal. Quetta is the provincial capital of Balochistan, sharing its boundaries in the east with Ziarat and in the west with Killa Abdullah. Pishin is in the north
and Mastung District lies in the south.

Locally, Quetta is also known by its ancient name of Shal or Shalkot based on its location at the north end of the Shal Valley about 1,690 meters above sea level. Although a small city, Quetta has over the years acquired the typical hustle and bustle of a provincial metropolis. The city and cantonment continue to modernize at an equally fast pace. Quetta is attractive to tourists for its thrilling location, full of adventure and enjoyment. Some prominent bazaars of Quetta are located on the roads Shahrah-e-Iqbal (the Kandahari bazaar) Shahrah-e-Liaquat (the Liaquat and Suraj Gang Bazaar, and Alamdar Road (little Tokyo).

Rabi crops include Wheat, Barley, Cumin, Vegetables and Fodder.

Kharif Crops include Melons, Fruits, Vegetables, Potato, Fodder and Onion.

In the provincial capital, mining concessions are granted for Coal, which is the major mineral. Limestone, Ordinary stone, Marble, Fluorite, Clay are other minerals; whereas, occurrences of Glass Sand, Dolomite, Silica (sand) are also reported. Sor range-Degari-Sinjidi-Pir Ismail Ziarat/Marwar Coal fields are well known in District Quetta. These coal deposits were identified in 1891 with 61 million ton of reserves. Coal is found at 28 Km east and south-east from Quetta. It is sub-bituminous in quality and contains low proportions and sculpture contents. Quetta is the nearest railway station for the Sor range, Spez and, Degari & Pir Ismail Ziarat coal fields, which have depth of 1,100 meters.

Pir Ismail Ziarat is 60 Km east of Quetta and covered over 20 square kilometers having two seams- upper and lower seams, while their thickness ranges between 0.6-0.7 meters and 0.4-0.45 meters respectively; while, their depth ranges between 200-1,000 meters. These fields are the major coal producing area of the country where besides Coal, Limestone, Fluorite and Ordinary stone is produced in significant quantity. Fluorite mineralization in Quetta District occurs in Chiltan Limestone of Jurassic age. Fluorite occurs in veins in fracture zones. Several hundred meters thick Limestone at places Dolomite occurs in Chiltan formation of Jurassic age in Quetta (Brewery Gorge)

There are two Industrial Estates in Quetta. The first one is located at Sirki road, it is considered as Mini Industrial Estate. The other is located at Sariab By-Pass, 13 Km away from Quetta, which was established in 1986-87. All the utility requirements are available.

Quetta is a trade route leading to Afghanistan and Iran therefore; it is a transit route between these countries. Trade takes place legally as well as illegally (smuggling). From Afghanistan, fresh as well as dry fruit, timber, cotton, sheep and goat skins are imported into Pakistan. Similarly from Iran, petrol, blankets, plastic goods, carpets, dried fruit, hosiery goods, and fresh fruit e.g. cherries and tinned fruits come into the country. Veterinary medicines and medicines for human consumption are smuggled into Quetta. The magnitude of import can be gauged from the number of trucks coming into Pakistan. It should be remembered that transit trade to India also takes place via Quetta. 

A greater proportion of trading activities is not possible to be documented due to the illegal nature of the trade. Normally food items particularly wheat, ugar and edible oil are smuggled to Afghanistan, while a number of products of Afghan origin and merchandised items of foreign origin are smuggled into Quetta District via Chaman. Adverse economic effects of these activities result in shortage of wheat and edible oil etc. in Quetta and adjoining districts. Foreign goods are available at cheaper rates, discouraging industrial development. The retail trade has flourished over the years, due to smuggling.",2653,85547.0,276711,3,67,2275699.0,650.01,110.37,1001205,1274494,1193913,1081755,31,11244,0.213,1958.0,328713,8,2265,957,92.0,100.0,71.0,69.0,98.0,445,96,96,50.98,20.04,29.4,37.19
9,Bahawalpur,29.3956,71.6722,Punjab,"Bahawalnagar and Rahim Yar Khan districts form its boundaries in the East and West respectively, while Lodhran and Vehari districts are situated in the North across the river Sutlej, which flows from North-East to North-West. On the South and South-East the district forms the international Border with India.

District Bahawalpur has very hot and dry climate in summer and dry and cold climate in winter. The maximum temperature rises to 48ºC while the minimum temperature falls to 7ºC. Wind and dust storms are frequent during the summer. The average annual rain-fall in the district is 200 mm.
The district may be divided into three parts, i.e., the riverain area, the irrigated area and the desert area. The riverain area lies close to the river Sutlej, which flows in the North along its boundary with Lodhran and Vehari districts. The area is inundated during floods. The irrigated tract is higher than the riverain area. Most of the land has been brought under cultivation. The desert area is known as Cholistan. It extends along the entire Eastern boundary of Bahawalnagar district in the North and Rahim Yar Khan district in the South. The surface of the desert consists of a succession of sand dunes rising in places to a height of 150 metres.
Major crops and fruits of the district are cotton, wheat, sugarcane, dates, mangoes and citrus. At present, there are textile spinning mills, sugar mills, flour mills, cotton ginning/processing factories and oil expelling units in the district. There exists wide scope for cotton based industries i.e. textile spinning, weaving, processing/printing. More solvent oil extraction plants can be established as besides cotton seed, cotton oil cake and Mustard seeds can also be used as raw material. In addition, Dates based vinegar unit can also be established.

District Bahawalpur possesses forest area of about 15 thousand acres. Therefore, there exists a good prospect for wood seasoning/processing units and modern furniture units.

The district is linked with Lodhran, Bahawalnagar Vehari and Rahim Yar Khan Districts through metalled road. The main Peshawar-Karachi railway line passes through Bahawalpur District. The district is linked with Rahim Yar Khan, Hasilpur and Lodhran through railway network. The sub soil water in the district is suitable for industrial purposes. Since most of the industrial activity consists of cotton ginning and oil mills, no serious effluent disposal problems exist at present. However, if some effluent generating industries are established in the district then effluent can be discharged into river with permission from Irrigation and Power Department, Government of the Punjab. There are 11 grid stations in the district (ranging in capacity from 66 KV to 220 KV).  Natural gas is available in Ahmedpur East, Uch-Sharif, Khanqah-Sharif and Bahawalpur City.

The most popular traditional craft is making of delicate and decorated earthenware. These earthenwares display the skill of the artisans who are concentrated in the Tehsil of Ahmedpur East. Decorated lampshades and flower-vases are also made from camel skin in some parts of the district. Hand embroidery work on shirts is yet another speciality of the area. Other crafts include basket making, cotton and woollen durries, patch work, etc.",24830,178235.701,584864,6,109,3668106.0,148.0,105.0,1171258,2496848,1879311,1788578,217,516000,0.273,3225.98,524928,15,2472,366,100.0,100.0,12.0,15.0,71.0,1465,287,153,79.84,89.1,97.99,93.71
